"","celex","year","month","delegation.ratio","constraint.ratio","discretion.index"
"107","31978R0102",1978,1,0.153846153846154,0,0.153846153846154
"108","31978R0105",1978,1,0,0,0
"109","31978R0106",1978,1,0,0,0
"110","31978R0124",1978,1,0,0,0
"111","31978R0129",1978,1,0,0.166666666666667,0
"112","31978R0152",1978,1,0,0.0833333333333333,0
"113","31978R0156",1978,1,0,0.166666666666667,0
"114","31978R0171",1978,1,0,0.0833333333333333,0
"115","31978R0172",1978,1,0,0.166666666666667,0
"116","31978R0178",1978,1,0,0.0833333333333333,0
"117","31978R0179",1978,1,0,0.166666666666667,0
"118","31979L0005",1979,1,0.4,0.0833333333333333,0.366666666666667
"119","31979L0007",1979,1,0.272727272727273,0.0833333333333333,0.25
"120","31979L0009",1979,1,0,0,0
"121","31979L0032",1979,1,0,0,0
"122","31979L0040",1979,1,0,0.166666666666667,0
"123","31979L0076",1979,1,0,0.166666666666667,0
"124","31979R0010",1979,1,0,0,0
"125","31979R0064",1979,1,0,0,0
"126","31979R0083",1979,1,0,0,0
"127","31979R0114",1979,1,0,0,0
"128","31979R0129",1979,1,0,0,0
"129","31979R0131",1979,1,0,0,0
"130","31979R0137",1979,1,0.0833333333333333,0.0833333333333333,0.0763888888888889
"131","31979R0142",1979,1,0,0,0
"132","31979R0146",1979,1,0.5,0,0.5
"133","31979R0148",1979,1,0.0540540540540541,0,0.0540540540540541
"134","31979R0149",1979,1,0,0.0833333333333333,0
"135","31979R0150",1979,1,0,0.166666666666667,0
"136","31979R0151",1979,1,0,0,0
"137","31979R0156",1979,1,0,0,0
"138","31979R0157",1979,1,0,0.0833333333333333,0
"139","31980L0049",1980,1,0.333333333333333,0,0.333333333333333
"140","31980L0051",1980,1,0.8,0,0.8
"141","31980L0052",1980,1,0,0.0833333333333333,0
"142","31980L0068",1980,1,0.333333333333333,0.0833333333333333,0.305555555555556
"143","31980R0036",1980,1,0,0.0833333333333333,0
"144","31980R0037",1980,1,0,0.0833333333333333,0
"145","31980R0044",1980,1,0,0,0
"146","31980R0045",1980,1,0.333333333333333,0,0.333333333333333
"147","31980R0046",1980,1,0,0,0
"148","31980R0061",1980,1,0,0,0
"149","31980R0077",1980,1,0,0.416666666666667,0
"150","31980R0078",1980,1,0,0.0833333333333333,0
"151","31980R0089",1980,1,0,0,0
"152","31980R0109",1980,1,0,0,0
"153","31980R0113",1980,1,0,0.0833333333333333,0
"154","31980R0114",1980,1,0,0,0
"155","31980R0120",1980,1,0,0,0
"156","31980R0121",1980,1,0,0,0
"157","31980R0124",1980,1,0,0,0
"158","31980R0125",1980,1,0,0,0
"159","31980R0126",1980,1,0,0,0
"160","31980R0137",1980,1,0,0.0833333333333333,0
"161","31980R0149",1980,1,0,0,0
"162","31980R0160",1980,1,0,0.166666666666667,0
"163","31980R0161",1980,1,0,0,0
"164","31980R0176",1980,1,0.111111111111111,0,0.111111111111111
"165","31980R0179",1980,1,0,0,0
"166","31980R0180",1980,1,0,0,0
"167","31980R0190",1980,1,0,0,0
"168","31980R0191",1980,1,0,0,0
"169","31980R0199",1980,1,0,0,0
"170","31980R0201",1980,1,0,0,0
"171","31980R0202",1980,1,0,0,0
"172","31980R0203",1980,1,0,0,0
"173","31980R0204",1980,1,0,0,0
"174","31981L0006",1981,1,0,0,0
"175","31981L0007",1981,1,0,0,0
"176","31981R0001",1981,1,0,0.0833333333333333,0
"177","31981R0002",1981,1,0,0.166666666666667,0
"178","31981R0003",1981,1,0,0,0
"179","31981R0004",1981,1,0,0,0
"180","31981R0005",1981,1,0,0,0
"181","31981R0006",1981,1,0,0,0
"182","31981R0007",1981,1,0,0.0833333333333333,0
"183","31981R0008",1981,1,0,0,0
"184","31981R0009",1981,1,0.0666666666666667,0,0.0666666666666667
"185","31981R0010",1981,1,0,0,0
"186","31981R0011",1981,1,0,0,0
"187","31981R0012",1981,1,0,0.166666666666667,0
"188","31981R0013",1981,1,0,0.0833333333333333,0
"189","31981R0014",1981,1,0,0,0
"190","31981R0015",1981,1,0,0,0
"191","31981R0016",1981,1,0,0.0833333333333333,0
"192","31981R0017",1981,1,0,0.166666666666667,0
"193","31981R0018",1981,1,0,0,0
"194","31981R0019",1981,1,0,0,0
"195","31981R0020",1981,1,0,0,0
"196","31981R0021",1981,1,0,0,0
"197","31981R0022",1981,1,0,0,0
"198","31981R0023",1981,1,0,0,0
"199","31981R0024",1981,1,0,0,0
"200","31981R0025",1981,1,0,0,0
"201","31981R0026",1981,1,0,0.0833333333333333,0
"202","31981R0027",1981,1,0,0,0
"203","31981R0028",1981,1,0,0,0
"204","31981R0029",1981,1,0,0,0
"205","31981R0030",1981,1,0,0,0
"206","31981R0031",1981,1,0,0,0
"207","31981R0032",1981,1,0,0.166666666666667,0
"208","31981R0033",1981,1,0,0,0
"209","31981R0034",1981,1,0,0,0
"210","31981R0037",1981,1,0,0,0
"211","31981R0038",1981,1,0,0,0
"212","31981R0039",1981,1,0.166666666666667,0.166666666666667,0.138888888888889
"213","31981R0040",1981,1,0,0.0833333333333333,0
"214","31981R0041",1981,1,0,0,0
"215","31981R0042",1981,1,0,0,0
"216","31981R0043",1981,1,0,0,0
"217","31981R0044",1981,1,0,0.0833333333333333,0
"218","31981R0045",1981,1,0,0,0
"219","31981R0046",1981,1,0,0,0
"220","31981R0047",1981,1,0,0,0
"221","31981R0048",1981,1,0,0,0
"222","31981R0049",1981,1,0.0227272727272727,0,0.0227272727272727
"223","31981R0050",1981,1,0,0,0
"224","31981R0051",1981,1,0.0833333333333333,0,0.0833333333333333
"225","31981R0052",1981,1,0.166666666666667,0,0.166666666666667
"226","31981R0053",1981,1,0,0.0833333333333333,0
"227","31981R0054",1981,1,0,0,0
"228","31981R0055",1981,1,0,0.0833333333333333,0
"229","31981R0056",1981,1,0,0,0
"230","31981R0057",1981,1,0,0.0833333333333333,0
"231","31981R0058",1981,1,0,0.0833333333333333,0
"232","31981R0059",1981,1,0,0,0
"233","31981R0067",1981,1,0,0,0
"234","31981R0072",1981,1,0,0.333333333333333,0
"235","31981R0077",1981,1,0,0,0
"236","31981R0083",1981,1,0,0,0
"237","31981R0139",1981,1,0,0,0
"238","31981R0145",1981,1,0,0,0
"239","31981R0165",1981,1,0,0,0
"240","31981R0166",1981,1,0,0,0
"241","31981R0167",1981,1,0,0,0
"242","31981R0174",1981,1,0,0,0
"243","31981R0175",1981,1,0,0.25,0
"244","31981R0182",1981,1,0,0,0
"245","31981R0187",1981,1,0,0,0
"246","31981R0195",1981,1,0.125,0,0.125
"247","31981R0196",1981,1,0,0.0833333333333333,0
"248","31981R0210",1981,1,0,0,0
"249","31981R0227",1981,1,0,0.0833333333333333,0
"250","31981R0228",1981,1,0,0.0833333333333333,0
"251","31981R0263",1981,1,0,0.166666666666667,0
"252","31981R0267",1981,1,0,0,0
"253","31981R0272",1981,1,0,0,0
"254","31982L0002",1982,1,0,0,0
